GeneSymbol	Human	Chimpanzee	Pigtailed_macaque	Japanese_macaque	Rhesus_macaque	Cynomolgous_Mauritian	Cynomolgous_Chinese	Baboon	Sooty_mangabey	Marmoset	Squirrel_monkey	Mouse_lemur
AASS	3026	1034	4686	962	678	1594	2400	3882	2112	2764	1938	908
AATF	27184	364	1184	700	302	640	756	940	1590	882	432	1240
AATK	109	196	4	32	8	14	36	12	46	20	102	2
AATK-AS1	0	0	16	4	0	0	2	2	0	0	0	0
ABAT	459	30	192	150	38	214	136	256	3320	104	120	4
ABCA1	25908	2586	5178	4378	3468	3206	3790	3276	17486	10310	1004	2034
ABCA10	1243	1068	1712	894	652	2080	1716	1600	2766	186	224	2864
ABCA11P	473	114	38	20	18	26	20	42	42	2	4	8
ABCA12	0	0	12	44	20	16	4	6	0	0	0	2
ABCA13	19	10	14	75	2	6	0	2	12	28	8	0
ABCA17P	74	6	0	0	2	0	0	0	0	0	10	4
ABCA2	10789	830	406	492	198	396	720	476	806	780	900	304
ABCA3	6046	1098	164	186	132	142	286	382	194	432	550	46
ABCA4	57	10	0	26	8	14	34	88	54	2	4	42
ABCA5	62979	8414	12407	6686	2350	6532	6678	4168	19138	12294	9590	5014
ABCA6	4396	900	3242	2358	1312	2118	3772	2069	2294	980	1862	284
ABCA7	2147	128	220	584	118	246	170	276	154	26	142	20
ABCA8	8380	1736	7414	2570	2908	3786	4542	3870	8230	2172	5375	312
ABCA9	9324	1458	1852	904	988	840	1334	1535	2711	42	30	423
ABCB1	371	178	350	132	56	108	152	106	278	252	1288	178
ABCB10	8075	712	1428	1420	796	1232	1340	1306	986	652	458	1116
ABCB11	265	30	108	83	59	75	107	724	118	108	28	8
ABCB4	375	212	308	112	34	156	226	164	10	1862	3070	482
ABCB5	256	2	2	0	4	6	2	2	2	2	0	0
ABCB6	15930	880	2176	1566	1136	1316	2138	1684	1138	422	512	1824
ABCB7	10198	1068	2794	1908	994	1814	2770	2174	2856	1038	1254	3106
ABCB8	1273	414	138	148	78	124	144	172	64	82	118	70
ABCB9	99	41	18	38	22	40	86	20	44	96	42	284
ABCC1	18458	2264	2546	1508	1026	1602	2780	1962	1300	1206	1540	282
ABCC10	4653	182	370	420	182	382	670	488	204	358	172	106
ABCC11	0	0	2	0	0	0	2	0	0	2	0	0
ABCC12	92	6	0	0	2	0	0	50	0	0	0	0
ABCC13	1	0	0	0	0	0	0	0	0	0	0	0
ABCC2	395	198	918	174	46	128	278	496	62	150	832	8
ABCC3	122	22	54	82	30	66	36	94	184	4	2	8
ABCC4	8016	936	1144	1050	644	1430	604	1494	3414	1630	916	2132
ABCC5	25142	3062	2284	4994	1356	3710	4366	7220	2340	1520	3448	1266
ABCC5-AS1	51	0	0	0	0	0	0	0	0	0	0	0
ABCC6	277	120	2	94	108	28	44	16	8	2	4	2
ABCC6P1	1	4	0	6	6	2	0	0	2	2	0	0
ABCC6P2	0	14	0	2	0	2	0	0	2	0	0	0
ABCC8	0	60	8	48	26	12	46	36	32	58	26	0
ABCC9	58497	11235	14284	15110	7752	10670	10335	13686	15384	12370	5258	8616
ABCD1	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	34	20	104	516	392	778	400	204	48	118	230	90
ABCD3	15584	2070	3655	2878	1384	2602	3228	3822	2038	1816	1870	2226
ABCD4	1937	90	172	238	184	126	198	266	622	206	92	104
ABCE1	27720	1860	3854	2672	1434	2190	2960	4152	6104	2026	2116	7898
ABCF1	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	46361	2150	4426	4346	2062	3626	4050	4524	7652	3612	2140	7570
ABCF3	15550	2048	2032	2338	1334	1844	3062	2594	1422	944	882	2318
ABCG1	27975	488	374	396	138	158	258	94	3826	2676	84	178
ABCG2	212	130	906	476	458	508	716	1758	1380	274	468	4
ABCG4	0	2	4	10	6	0	10	14	4	12	32	10
ABCG5	0	0	0	0	0	2	0	0	2	0	0	0
ABCG8	0	0	0	0	0	4	0	0	0	0	0	0
ABHD1	143	76	82	60	30	108	92	10	0	38	0	2
ABHD10	5561	682	950	916	396	664	1090	438	152	336	324	193
ABHD11	852	74	56	60	48	52	62	72	34	56	12	14
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	3788	258	302	206	98	234	254	284	268	180	224	142
ABHD12B	0	0	0	0	0	12	2	0	0	0	0	0
ABHD13	5292	784	1350	1416	432	1064	1114	1222	1016	440	782	1244
ABHD14A	1462	332	90	128	58	100	94	98	38	122	92	64
ABHD14A-ACY1	1067	6	2	4	2	0	0	0	2	0	0	0
ABHD14B	5255	52	136	116	48	112	108	92	110	8	6	30
ABHD15	1230	122	16	44	4	30	32	22	22	8	22	0
ABHD16A	3407	454	624	594	440	482	399	654	382	376	136	52
ABHD16B	85	0	0	0	0	0	0	0	0	0	0	0
ABHD2	14796	994	8139	1186	328	522	1208	1382	1446	2430	594	1738
ABHD3	839	148	1372	342	90	218	438	278	118	78	290	110
ABHD4	6631	630	700	684	222	572	994	1512	1572	328	456	690
ABHD5	7231	1704	3452	2884	1338	2390	3376	2534	1898	1118	1398	3618
ABHD6	1506	60	332	280	108	436	362	134	72	218	434	2104
ABHD8	2084	132	160	248	42	158	258	154	58	110	76	50
ABI1	12957	1072	1498	1262	644	1332	1432	1808	2302	736	544	1646
ABI2	5180	724	380	516	254	482	540	648	544	484	242	234
ABI3	366	16	24	36	6	8	36	60	36	44	38	8
ABI3BP	4864	564	408	402	364	664	636	766	992	384	114	112
ABL1	17341	1288	954	844	404	574	1168	1410	2004	1118	956	1688
ABL2	8479	1079	1106	1050	454	928	1210	1285	2202	536	520	1450
ABLIM1	50574	4358	19910	5006	1998	2498	7652	7340	8432	1640	1962	1400
ABLIM2	316202	2446	1794	2178	950	2338	2422	4136	4926	2410	1610	260
ABLIM3	23021	1424	916	448	328	538	822	1892	1338	370	720	286
ABO	212	148	6	130	34	40	58	163	170	4	2	2
ABP1	2	0	14	14	24	0	2	0	4	112	46	14
ABR	5146	244	364	328	160	188	525	674	778	1332	174	1336
ABRA	24226	10572	67550	11266	3288	6262	5084	23646	488	6532	2794	2650
ABRACL	869	8	30	64	6	12	2	4	92	12	16	22
ABT1	0	0	0	0	0	0	0	0	0	0	0	0
ABTB1	8273	332	250	380	124	184	332	258	680	124	192	4
ABTB2	5013	154	324	482	105	310	716	302	622	460	786	30
ACAA1	4240	442	840	818	370	588	716	922	338	658	632	924
ACAA2	13239	2118	6150	5276	1714	2596	4528	2692	1192	626	2276	498
ACACA	15588	838	1188	1022	634	1040	1084	1586	3636	2276	1206	3806
ACACB	208323	9790	19062	6410	5526	3686	13536	7354	22852	4802	8616	2050
ACAD10	2767	242	552	530	168	294	614	456	152	346	740	82
ACAD11	583	210	304	118	88	88	162	60	114	76	10	14
ACAD8	3920	202	578	418	316	402	642	776	584	750	518	364
ACAD9	13905	1022	1078	1686	704	1322	1698	1832	1142	600	352	872
ACADL	2369	216	1092	608	140	754	514	96	20	2	0	2538
ACADM	18016	9092	22444	12142	3812	5472	11158	18370	1514	3282	7250	6672
ACADS	15913	1508	3850	2056	678	1688	3368	2788	1108	518	752	212
ACADSB	8984	4294	8494	2982	2881	4748	6642	7516	3518	1088	1928	126
ACADVL	95125	12222	43886	23970	8246	10358	23332	23052	10544	8066	10952	6880
ACAN	457	0	6	0	2	4	8	0	84	8	28	0
ACAP1	109	32	20	488	18	16	28	28	12	184	22	64
ACAP2	8727	1080	1386	1196	604	1116	1206	1580	1774	1218	864	2118
ACAP3	4667	604	420	488	164	408	856	610	368	364	188	72
ACAT1	77164	8764	10632	9800	3346	6510	8878	12114	3120	1900	4324	1550
ACAT2	1732	36	260	146	78	190	168	200	124	272	244	286
ACBD3	23747	1566	2046	1826	1116	2038	2138	2564	3158	1052	1116	1984
ACBD4	809	92	174	98	24	48	136	140	48	278	118	68
ACBD5	15770	2542	2730	2484	1360	2336	3151	2912	2314	830	454	980
ACBD6	3348	440	966	646	256	506	616	930	468	116	292	654
ACBD7	21	18	14	10	12	8	8	12	13	8	0	0
ACCS	81	96	20	126	82	76	62	98	90	86	18	126
ACCSL	0	0	0	0	4	2	0	6	6	4	0	0
ACD	2381	106	16	34	16	38	68	52	16	54	16	0
ACE	1639	414	18	44	52	50	116	106	88	702	1224	116
ACE2	716	8	14	14	8	6	8	2	0	0	4	22
ACER1	0	0	0	0	0	0	0	2	4	0	2	0
ACER2	299	142	522	1290	422	1268	1845	918	644	28	58	138
ACER3	0	0	0	0	0	0	0	0	0	0	0	0
ACHE	18329	1550	704	412	328	166	234	616	164	48	334	150
ACIN1	46736	1948	3224	3720	1140	2716	3516	4116	3924	3510	2714	3248
ACLY	10150	866	410	462	244	427	440	614	676	260	840	226
ACMSD	6	0	2	4	0	2	0	0	0	0	0	0
ACN9	1019	140	304	320	186	338	316	404	68	30	84	160
ACO1	21191	1332	1546	1468	800	1472	1602	1454	616	984	512	1224
ACO2	150143	21951	16712	9510	10472	7374	30244	27138	11096	13412	11270	16288
ACOT1	1852	404	208	96	34	40	134	98	18	0	0	0
ACOT11	78	782	2776	422	240	294	760	854	136	120	1402	34
ACOT12	65	0	2	2	2	2	0	0	8	0	0	6
ACOT13	7271	1504	2014	1074	504	748	1214	2074	684	374	136	126
ACOT2	6332	524	814	250	156	208	416	262	100	0	0	8
ACOT4	0	18	40	20	10	8	51	2	18	0	62	2
ACOT6	59	62	44	44	14	26	52	144	4	6	60	32
ACOT7	1008	20	80	136	48	44	134	130	174	348	400	468
ACOT8	3993	216	168	142	54	114	150	204	192	12	36	32
ACOT9	8161	344	1370	450	206	426	804	1104	944	534	2106	536
ACOX1	63576	3884	3832	2550	1102	2132	2736	4336	2592	888	706	3022
ACOX2	640	16	490	398	274	586	464	700	76	202	148	0
ACOX3	2335	340	254	222	120	172	376	326	250	52	30	2
ACOXL	8	0	2	8	0	0	0	0	0	0	0	2
ACP1	12916	1218	1310	1336	604	848	1318	1074	1748	454	244	424
ACP2	3495	234	306	262	146	334	504	368	604	352	328	256
ACP5	700	0	30	44	10	152	10	18	124	10	6	10
ACP6	639	228	288	358	188	235	308	236	268	54	26	32
ACPL2	767	60	112	144	90	108	260	106	102	946	130	42
ACPP	1	2	60	60	18	76	8	20	24	2	6	8
ACPT	6	0	0	0	0	0	0	0	0	0	0	0
ACR	13	6	0	0	0	0	2	0	0	0	0	2
ACRBP	15	32	0	2	0	0	6	0	4	58	0	0
ACRC	180	382	30	28	16	10	12	24	12	2	0	0
ACRV1	0	2	0	0	0	0	0	0	0	0	0	0
ACSBG1	298	0	18	16	8	12	6	6	0	0	0	4
ACSBG2	0	0	0	2	2	2	6	2	4	0	0	0
ACSF2	4837	842	1080	794	762	306	836	278	94	80	6	26
ACSF3	3373	200	382	224	34	164	272	296	342	106	132	2
ACSL1	158193	12850	33389	10174	3770	7722	15992	17034	7544	3336	8156	2096
ACSL3	17113	2696	1218	1024	486	1042	1160	1972	2955	5020	992	1552
ACSL4	199605	1534	1772	2208	1378	1990	2792	2066	65856	5470	2388	19486
ACSL5	1078	76	106	92	66	78	84	148	92	104	32	20
ACSL6	186	266	370	432	540	2408	954	312	54	1784	2838	6
ACSM1	0	10	2	0	6	0	0	2	0	0	0	0
ACSM2A	15	0	0	0	0	0	0	22	0	0	0	12
ACSM2B	9	0	0	0	2	4	0	2	0	0	0	18
ACSM3	153	12	254	86	48	42	74	132	98	0	60	16
ACSM4	26	0	36	4	0	0	0	0	0	0	0	0
ACSM5	774	628	298	742	404	586	1096	384	802	14	92	110
ACSS1	6616	620	2966	862	652	1052	2090	2652	1998	1372	636	4130
ACSS2	52716	3429	5486	2520	1072	2484	2846	7516	4706	1668	2858	1714
ACSS3	2040	1290	1224	1016	518	3294	1534	1002	380	508	336	528
ACTA1	1297775	828116	141580	440614	235046	698894	635692	1197410	27386	654385	789814	70850
ACTA2	72845	1154	2208	1236	1202	548	2420	2894	2844	3510	2350	286
ACTB	277434	6374	2055	6191	1795	4002	4934	6145	7657	9139	3525	5475
ACTBL2	1	2	0	0	0	0	0	0	0	0	0	0
ACTC1	84319	1000	434	2949	134	232	966	2368	2780	3052	5552	3886
ACTG1	121223	3030	1498	1726	707	1578	1504	2905	2902	3596	1458	680
ACTG1P4	239	76	16	8	6	6	19	12	22	0	0	0
ACTG2	6039	6	78	12	30	4	40	94	164	66	16	32
ACTL10	24	0	0	4	0	0	2	0	0	0	0	0
ACTL6A	5638	130	386	272	106	228	276	402	424	476	328	1018
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	2
ACTL7A	0	0	0	0	0	0	2	0	0	20	0	0
ACTL7B	0	0	6	4	0	8	0	4	24	6	92	10
ACTL8	0	2	0	0	0	2	4	4	0	2	10	0
ACTL9	0	0	0	0	0	0	0	0	0	0	2	0
ACTN1	15839	391	584	354	230	242	682	758	1232	546	384	592
ACTN2	969368	102574	68824	54366	15042	76684	82978	205350	25838	117644	127332	45177
ACTN3	17378	100463	61431	158424	112284	116562	131172	97794	3976	21484	91586	121931
ACTN4	29672	1154	1204	1046	466	654	1756	2080	2688	1568	924	1060
ACTR10	10168	1694	2498	2150	1328	2262	2074	3846	1316	1436	1138	3550
ACTR1A	101060	3461	5472	3724	2044	3218	4360	5944	6082	2574	2310	3186
ACTR1B	14643	1678	1644	1582	716	1218	2179	2580	640	498	704	1936
ACTR2	58319	2018	2698	2726	1380	1932	2770	2134	4260	1162	1284	4148
ACTR3	28774	1764	2124	2066	950	2060	2152	2600	3804	2034	1300	3420
ACTR3B	2492	296	1800	1611	322	1446	1548	2290	2140	312	486	626
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	13
ACTR3C	238	2	0	2	2	0	2	0	0	0	0	0
ACTR5	2548	120	186	306	124	230	374	184	162	98	108	132
ACTR6	3017	432	572	412	246	430	506	338	188	594	348	566
ACTR8	5172	910	1154	794	488	880	1054	1036	2884	1454	670	770
ACTRT1	0	0	0	0	0	0	2	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	6	0	0	0	0	0
ACTRT3	157	68	52	76	48	68	80	98	36	66	22	2
ACVR1	14536	718	508	570	362	568	512	692	394	914	1114	270
ACVR1B	10577	762	360	414	162	446	574	554	998	494	428	210
ACVR1C	1078	96	1074	370	280	604	246	380	72	190	22	24
ACVR2A	6122	984	1094	988	646	908	1222	1122	826	890	752	914
ACVR2B	12123	3984	2872	2332	1592	3684	3110	4148	3410	920	2534	788
ACVR2B-AS1	3207	42	4	4	6	26	4	20	36	2	0	0
ACVRL1	3015	312	628	350	348	604	572	844	596	620	638	106
ACY1	927	76	84	44	12	20	52	24	24	8	4	2
ACY3	0	0	0	0	0	0	0	0	0	0	0	0
ACYP1	1566	416	344	296	118	200	232	388	58	716	220	380
ACYP2	10288	3880	3010	4048	2400	2566	3514	3826	538	360	920	404
ADA	602	34	148	352	44	296	261	124	120	120	40	100
ADAD1	0	0	416	142	100	378	282	536	4	2	0	0
ADAD2	0	0	0	0	0	0	8	0	0	0	0	0
ADAL	4796	1065	950	520	374	806	1070	726	126	368	212	424
ADAM10	13801	798	1642	1540	660	1154	1576	2056	3020	1854	1490	8044
ADAM11	45	4	4	10	4	2	4	12	20	748	6	2
ADAM12	0	6	2	162	6	8	0	10	62	76	8	6
ADAM15	8925	298	1368	930	474	668	1836	1494	1432	706	280	162
ADAM17	7894	528	1202	1212	604	968	1168	1342	3210	926	786	1150
ADAM18	0	0	0	6	0	0	6	2	0	0	98	2
ADAM19	525	1182	330	546	312	210	394	394	212	76	108	86
ADAM1A	565	78	52	58	36	42	50	78	72	20	18	0
ADAM2	0	0	0	0	0	0	0	0	2	0	0	0
ADAM20	0	16	42	22	18	10	18	44	14	182	40	0
ADAM20P1	67	48	68	30	20	26	32	34	10	0	0	0
ADAM21	42	6	28	22	14	22	28	20	2	18	170	6
ADAM21P1	0	0	8	4	6	14	2	6	2	0	54	2
ADAM22	536	96	388	140	94	182	70	280	46	36	42	64
ADAM23	914	70	18	66	20	60	10	168	6	20	76	388
ADAM28	24	0	0	4	0	6	2	0	36	0	0	0
ADAM29	45	6	0	4	0	0	2	2	0	0	0	0
ADAM30	0	0	0	0	0	0	4	2	2	0	0	0
ADAM32	71	14	32	24	10	22	26	22	16	0	22	12
ADAM33	682	186	62	18	16	24	40	50	92	12	28	4
ADAM3A	0	0	0	2	2	0	0	2	0	2	0	0
ADAM5	0	0	2	0	0	0	0	0	0	0	2	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	35	12	12	42	8	20	26	10	30	4	4	0
ADAM9	27578	1918	2280	2796	1164	2532	2094	3714	2816	3200	1634	9234
ADAMDEC1	0	0	0	24	0	16	0	0	236	0	0	0
ADAMTS1	53501	2620	2938	2318	804	2118	3360	2624	2046	3022	1036	262
ADAMTS10	658	86	160	154	104	104	137	286	456	98	138	4
ADAMTS12	117	88	36	46	176	104	102	150	346	44	76	20
ADAMTS13	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS14	0	10	16	26	16	10	18	14	26	30	100	0
ADAMTS15	400	28	74	86	110	84	96	88	492	52	42	36
ADAMTS16	9	26	40	14	42	30	6	26	0	2	0	2
ADAMTS17	1414	70	126	818	76	84	122	50	56	48	22	12
ADAMTS18	32	0	2	10	2	0	0	16	16	14	0	4
ADAMTS19	0	578	608	24	24	194	212	380	56	206	152	202
ADAMTS2	374	194	218	98	252	160	170	274	1150	38	158	60
ADAMTS20	0	0	44	6	2	10	40	8	484	126	318	170
ADAMTS3	332	32	38	48	66	36	86	876	218	12	24	16
ADAMTS4	8108	248	48	56	30	16	24	48	24	158	44	16
ADAMTS5	8584	402	3094	932	570	840	822	1772	10534	1636	686	1116
ADAMTS6	143	18	90	142	52	44	58	54	170	60	14	188
ADAMTS7	180	24	4	18	4	8	26	12	46	12	30	2
ADAMTS8	2	14	26	86	42	40	190	958	4	192	156	4
ADAMTS9	7228	2114	808	588	408	474	386	1188	722	1176	1462	12
ADAMTS9-AS2	149	20	18	30	18	20	52	72	112	0	4	0
ADAMTSL1	155	146	116	206	180	248	118	366	108	98	38	134
ADAMTSL2	228	320	110	70	38	70	58	118	14	28	148	6
ADAMTSL3	901	600	434	252	362	162	626	442	698	112	278	214
ADAMTSL4	8851	528	1118	232	116	248	822	1780	1148	38	460	28
ADAMTSL5	1316	202	104	178	60	190	204	326	26	138	56	4
ADAP1	134	16	18	40	14	28	38	46	26	14	2	4
ADAP2	366	34	16	26	14	28	12	262	90	6	80	28
ADAR	18674	1504	2124	2212	742	1396	2016	2630	3194	546	468	284
ADARB1	6187	266	190	356	156	290	352	394	462	1202	184	24
ADARB2	163	0	0	6	0	0	0	4	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	869	154	82	124	40	70	132	218	516	86	292	16
ADAT2	482	180	66	82	38	84	66	106	228	16	24	60
ADAT3	37	8	8	6	0	4	18	8	4	2	2	0
ADC	136	14	20	48	22	20	26	26	46	0	32	28
ADCK1	540	287	160	148	70	130	172	342	114	52	22	26
ADCK2	6417	162	354	428	220	244	576	498	348	108	48	50
ADCK3	278637	37048	72954	16256	8054	20706	40788	40330	24566	9662	7258	11796
ADCK4	1625	138	332	322	140	216	500	314	598	86	36	82
ADCK5	0	0	0	0	0	0	0	0	0	0	0	0
ADCY1	1067	1464	274	204	256	336	272	446	70	50	282	36
ADCY10	13	12	96	80	96	64	196	98	52	10	28	10
ADCY10P1	202	14	42	72	72	46	94	106	80	18	6	2
ADCY2	63886	7876	9170	7014	5864	7908	10804	8262	3072	3372	4034	1740
ADCY3	2409	168	92	86	118	132	122	148	182	68	80	90
ADCY4	1311	180	220	202	96	116	312	570	352	348	224	54
ADCY5	1349	112	44	74	48	48	242	386	228	154	44	20
ADCY6	3514	360	1692	848	504	852	1462	1590	1210	708	996	438
ADCY7	1255	230	304	424	228	266	460	426	218	62	68	32
ADCY8	0	0	2	2	0	0	0	14	0	2	0	2
ADCY9	67374	5930	4873	3396	2140	3218	5132	8314	4734	2052	3170	1436
ADCYAP1	0	4	4	2	16	52	22	6	0	0	4	0
ADCYAP1R1	138	60	20	88	80	170	150	88	92	80	64	18
ADD1	114430	6756	3290	2750	2204	3342	3786	4832	4076	2374	1984	5964
ADD2	0	60	2	8	12	0	0	10	16	0	0	8
ADD3	6337	704	2014	1412	810	1422	1386	2232	2832	2040	1348	672
ADGB	0	0	2	0	0	0	4	0	0	4	0	2
ADH1A	1829	14	57	4	48	80	74	28	37	154	0	92
ADH1B	66958	592	428	52	70	420	320	160	182	257	0	24
ADH1C	8577	32	126	42	42	205	118	144	174	350	0	6
ADH4	596	0	28	0	10	4	0	0	2	0	0	0
ADH5	41469	1968	1958	1790	986	1328	1524	1220	510	1074	918	902
ADH6	1	2	0	0	4	2	0	0	0	0	0	2
ADH7	0	0	32	40	50	264	126	6	40	86	16	12
ADHFE1	11258	2584	824	224	708	958	1074	1052	1158	2150	710	74
ADI1	20301	2958	1122	766	408	728	1052	884	330	360	302	8
ADIG	0	2	0	0	0	0	0	0	0	0	2	2
ADIPOQ	740	70	252	30	38	260	202	14	38	56	58	74
ADIPOQ-AS1	116	0	2	0	0	0	2	0	0	0	0	0
ADIPOR1	33365	3978	8728	9580	5636	8918	12596	12700	4458	2848	3072	7772
ADIPOR2	20381	2312	4852	2176	948	3188	2450	6348	4606	2272	1045	2466
ADK	5644	554	430	552	336	602	768	706	1014	394	256	1852
ADM	24828	266	218	102	132	104	240	242	774	634	96	490
ADM2	0	0	0	8	0	2	4	0	4	0	0	0
ADM5	212	30	0	8	2	2	6	6	6	0	0	0
ADNP	39269	1250	1740	2692	1234	2066	2160	2900	3702	1976	1626	1062
ADNP2	1523	138	560	422	318	1244	456	1004	1442	420	484	116
ADO	6885	632	240	514	178	362	512	504	450	332	630	234
ADORA1	118	8	16	36	10	26	34	50	16	2	18	2
ADORA2A	282	24	36	224	22	18	26	48	56	42	12	4
ADORA2A-AS1	57	2	0	14	4	2	2	0	0	0	0	0
ADORA2B	0	12	38	28	14	20	26	116	36	28	14	22
ADORA3	175	0	60	14	12	30	10	62	26	6	4	0
ADPGK	2894	144	274	376	164	244	298	380	608	396	350	298
ADPGK-AS1	14	2	2	2	0	0	0	0	0	0	0	0
ADPRH	7832	732	674	1130	368	1004	896	698	604	156	166	72
ADPRHL1	14410	2352	1896	1288	578	2006	2910	2330	1086	846	1980	4
ADPRHL2	6968	552	604	540	274	384	494	542	474	532	276	364
ADPRM	1410	60	124	138	66	166	134	158	150	88	76	102
ADRA1A	87	32	42	46	24	18	18	14	55	92	64	4
ADRA1B	64	6	6	0	0	2	2	14	14	6	26	22
ADRA1D	50	4	4	4	4	6	12	14	20	6	4	4
ADRA2A	371	18	8	12	8	10	16	8	78	20	16	0
ADRA2B	1349	40	40	18	8	24	22	180	164	164	64	48
ADRA2C	444	24	2	16	10	0	2	20	4	14	8	2
ADRB1	106	0	6	4	2	4	2	0	2	4	8	0
ADRB2	1841	966	564	370	196	474	502	880	138	610	618	226
ADRB3	0	0	0	0	0	0	0	0	0	0	0	2
ADRBK1	15405	1252	1754	2556	1100	1696	2996	2180	1416	1026	1256	976
ADRBK2	677	154	362	402	176	400	510	390	3460	326	366	26
ADRM1	79081	2190	3771	4870	1124	3074	5062	3034	5976	2210	1916	6250
ADSL	47914	6086	3080	2400	2920	3822	4495	4136	2818	4932	5292	4646
ADSS	3636	218	204	346	184	228	240	360	542	562	318	1026
ADSSL1	148323	14042	19136	26534	18017	31878	29412	27468	7056	16170	20682	762
ADTRP	0	0	10	2	28	38	16	16	4	0	0	0
AEBP1	14370	176	170	186	360	202	1266	486	2883	338	426	94
AEBP2	8902	726	1212	1304	622	1124	1292	1376	1942	720	760	2272
AEN	10479	184	248	222	88	154	184	256	990	158	112	300
AES	82596	20184	4658	5926	2566	4250	6724	13862	3056	5520	3564	720
AFAP1	4369	228	158	578	228	174	420	518	466	658	198	112
AFAP1-AS1	14	4	0	2	0	0	0	0	0	0	0	0
AFAP1L1	11904	1082	576	574	362	276	640	1070	3323	1030	1564	252
AFAP1L2	1453	100	256	134	180	118	282	250	324	70	100	6
AFF1	164585	13488	3196	5458	2594	3648	5150	7802	6100	5956	2426	42
AFF2	0	0	0	0	0	0	0	0	0	0	0	0
AFF3	560	52	114	554	282	452	284	188	200	88	100	78
AFF4	55525	4983	6281	4666	2064	5230	4776	6168	10966	4338	4622	5628
AFG3L1P	1119	328	108	146	32	50	62	116	182	4	10	70
AFG3L2	63424	7304	7598	5426	3700	5800	9528	8220	5412	4234	3904	2716
AFM	0	2	22	4	4	4	0	0	0	0	0	0
AFMID	897	88	12	0	2	14	6	8	6	8	30	0
AFP	0	0	2	4	0	2	0	0	0	0	0	2
AFTPH	7237	1106	2794	4194	1600	3146	3190	2936	3296	1982	1620	3538
AGA	1268	198	442	480	260	409	516	240	136	916	942	84
AGAP1	11226	1262	1403	1426	894	1363	2049	1888	1358	917	733	480
AGAP1-IT1	0	4	18	14	4	4	22	8	16	0	0	0
AGAP10	326	13	0	0	0	0	2	0	0	0	0	0
AGAP11	592	76	18	23	12	8	5	2	13	0	0	0
AGAP2	1449	228	44	80	24	46	26	72	152	166	112	62
AGAP3	8881	804	598	554	418	456	1174	1056	578	310	456	874
AGAP4	873	244	46	43	24	50	52	44	42	14	0	0
AGAP5	583	64	18	12	2	12	16	8	35	6	4	2
AGAP6	759	53	4	10	4	6	16	4	2	0	0	0
AGAP7	691	230	68	60	32	53	42	78	68	70	14	0
